species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
aeec41e1-898a-478f-83ea-ebd3533c38d5,Megarynchus pitangua,birds,Megarynchus pitangua,NULL,Boat-Billed Flycatcher,NULL,Tyrannidae,Tyrant Flycatchers,species,NULL,Megarynchus,2024-01-31 16:46:00.000045+00
d6059440-aba3-4479-ac5f-3f425c53bf5e,Notharchus,birds,,NULL,,NULL,Bucconidae,Puffbirds,genus,NULL,Notharchus,2024-01-31 16:46:00.000045+00
5b20543d-da77-429e-b402-fbe81ab11115,Selenidera piperivora,birds,Selenidera piperivora,NULL,Guianan Toucanet,NULL,Ramphastidae,New World Barbets And Allies,species,NULL,Selenidera,2024-01-31 16:46:00.000045+00
b879ebc4-8c2d-4740-8026-028146aed1ae,Nyctidromus albicollis,birds,Nyctidromus albicollis,NULL,Pauraque,NULL,Caprimulgidae,Nightjars,species,NULL,Nyctidromus,2024-01-31 16:46:00.000045+00
a9c3995f-9f68-4bdf-ba19-5cda782cf7b6,Crypturellus,birds,,NULL,,NULL,Tinamidae,Tinamous,genus,NULL,Crypturellus,2024-01-31 16:46:00.000045+00
a9e1af72-efd8-4f62-b5c6-b8972a928e85,Ardea cocoi,birds,Ardea cocoi,NULL,Cocoi Heron,NULL,Ardeidae,Egrets And Herons,species,NULL,Ardea,2024-01-31 16:46:00.000045+00
ee4dbf35-7b76-4204-a21c-5b17101f4c80,Capito niger,birds,Capito niger,NULL,Black-Spotted Barbet,NULL,Capitonidae,,species,NULL,Capito,2024-01-31 16:46:00.000045+00
79818238-0d96-4fbe-a978-6418051d750a,Discosura,birds,,NULL,,NULL,Trochilidae,Hummingbirds,genus,NULL,Discosura,2024-01-31 16:46:00.000045+00
a0b2b6ea-f42a-415f-8e70-abab6dadc71c,Cyanoloxia,birds,,NULL,,NULL,Cardinalidae,Cardinals,genus,NULL,Cyanoloxia,2024-01-31 16:46:00.692574+00
7ac8679d-1880-49dc-940f-fcbac159d781,Heterocercus,birds,,NULL,,NULL,Pipridae,Manakins,genus,NULL,Heterocercus,2024-01-31 16:46:00.000045+00
