name,taxa,scientificname,genus,family,taxonomic_level
Andropogon leucostachyus,plants,Andropogon leucostachyus,Andropogon,Poaceae,species
Cochlospermum,plants,,Cochlospermum,Cochlospermaceae,genus
Mollia,plants,,Mollia,Malvaceae,genus
Frullania breuteliana,plants,Frullania breuteliana,Frullania,Frullaniaceae,species
Erythroxylum martii,plants,Erythroxylum martii,Erythroxylum,Erythroxylaceae,species
Posoqueria,plants,,Posoqueria,Rubiaceae,genus
Dendropanax,plants,,Dendropanax,Araliaceae,genus
Palicourea bracteosa,plants,Palicourea bracteosa,Palicourea,Rubiaceae,species
Cyathea,plants,,Cyathea,Cyatheaceae,genus
Quiina berryi,plants,Quiina berryi,Quiina,Quiinaceae,species
Philodendron fragrantissimum,plants,Philodendron fragrantissimum,Philodendron,Araceae,species
Cydista,plants,,Cydista,Bignoniaceae,genus
Clusia grandiflora,plants,Clusia grandiflora,Clusia,Clusiaceae,species
Psychotria mapourioides,plants,Psychotria mapourioides,Psychotria,Rubiaceae,species
Micropterygium leiophyllum,plants,Micropterygium leiophyllum,Micropterygium,Lepidoziaceae,species
Mahurea exstipulata,plants,Mahurea exstipulata,Mahurea,Calophyllaceae,species
Scleronema micranthum,plants,Scleronema micranthum,Scleronema,Malvaceae,species
Erythroxylum mucronatum,plants,Erythroxylum mucronatum,Erythroxylum,Erythroxylaceae,species
Phyllanthaceae,plants,,,Phyllanthaceae,family
Psychotria carthagenensis,plants,Psychotria carthagenensis,Psychotria,Rubiaceae,species
Sabicea,plants,,Sabicea,Rubiaceae,genus
Hypericaceae,plants,,,Hypericaceae,family
Onychopetalum,plants,,Onychopetalum,Annonaceae,genus
Myrciaria,plants,,Myrciaria,Myrtaceae,genus
Octoblepharaceae,plants,,,Octoblepharaceae,family
Euphronia,plants,,Euphronia,Euphroniaceae,genus
Matayba scrobiculata,plants,Matayba scrobiculata,Matayba,Sapindaceae,species
Stachytarpheta cayennensis,plants,Stachytarpheta cayennensis,Stachytarpheta,Verbenaceae,species
Trymatococcus amazonicus,plants,Trymatococcus amazonicus,Trymatococcus,Moraceae,species
Inga obidensis,plants,Inga obidensis,Inga,Fabaceae,species
Neea verticillata,plants,Neea verticillata,Neea,Nyctaginaceae,species
Macrolobium acaciifolium,plants,Macrolobium acaciifolium,Macrolobium,Fabaceae,species
Solanum oppositifolium,plants,Solanum oppositifolium,Solanum,Solanaceae,species
Myrcia aulomyrcioides,plants,Myrcia aulomyrcioides,Myrcia,Myrtaceae,species
Adelobotrys adscendens,plants,Adelobotrys adscendens,Adelobotrys,Melastomataceae,species
Amasonia,plants,,Amasonia,Lamiaceae,genus
Comolia microphylla,plants,Comolia microphylla,Comolia,Melastomataceae,species
Dacryodes sclerophylla,plants,Dacryodes sclerophylla,Dacryodes,Burseraceae,species
Asclepias curassavica,plants,Asclepias curassavica,Asclepias,Apocynaceae,species
Maquira coriacea,plants,Maquira coriacea,Maquira,Moraceae,species
Astrocaryum,plants,,Astrocaryum,Arecaceae,genus
Mabea anomala,plants,Mabea anomala,Mabea,Euphorbiaceae,species
Pharus virescens,plants,Pharus virescens,Pharus,Poaceae,species
Staurogyne guianensis,plants,Staurogyne guianensis,Staurogyne,Acanthaceae,species
Cassytha filiformis,plants,Cassytha filiformis,Cassytha,Lauraceae,species
Lantana trifolia,plants,Lantana trifolia,Lantana,Verbenaceae,species
Rosenbergiodendron,plants,,Rosenbergiodendron,Rubiaceae,genus
Schusterolejeunea,plants,,Schusterolejeunea,Lejeuneaceae,genus
Licaria,plants,,Licaria,Lauraceae,genus
Micropholis guyanensis,plants,Micropholis guyanensis,Micropholis,Sapotaceae,species
Souroubea guianensis,plants,Souroubea guianensis,Souroubea,Marcgraviaceae,species
Diospyros artanthifolia,plants,Diospyros artanthifolia,Diospyros,Ebenaceae,species
Mimosa caesalpiniifolia,plants,Mimosa caesalpiniifolia,Mimosa,Fabaceae,species
Bixa,plants,,Bixa,Bixaceae,genus
Phoradendron obtusissimum,plants,Phoradendron obtusissimum,Phoradendron,Viscaceae,species
Talisia mollis,plants,Talisia mollis,Talisia,Sapindaceae,species
Maquira sclerophylla,plants,Maquira sclerophylla,Maquira,Moraceae,species
Mollia ulei,plants,Mollia ulei,Mollia,Malvaceae,species
Turneraceae,plants,,,Turneraceae,family
Cyathea cyatheoides,plants,Cyathea cyatheoides,Cyathea,Cyatheaceae,species
Guatteria punctata,plants,Guatteria punctata,Guatteria,Annonaceae,species
Fissidens guianensis,plants,Fissidens guianensis,Fissidens,Fissidentaceae,species
Davilla nitida,plants,Davilla nitida,Davilla,Dilleniaceae,species
Palicourea subspicata,plants,Palicourea subspicata,Palicourea,Rubiaceae,species
Chaunochiton,plants,,Chaunochiton,Aptandraceae,genus
Thurnia,plants,,Thurnia,Thurniaceae,genus
Ischnosiphon gracilis,plants,Ischnosiphon gracilis,Ischnosiphon,Marantaceae,species
Casearia arborea,plants,Casearia arborea,Casearia,Salicaceae,species
Sagotia racemosa,plants,Sagotia racemosa,Sagotia,Euphorbiaceae,species
Macropsychanthus,plants,,Macropsychanthus,Fabaceae,genus
Inga brachystachys,plants,Inga brachystachys,Inga,Fabaceae,species
Warszewiczia,plants,,Warszewiczia,Rubiaceae,genus
Conceveiba terminalis,plants,Conceveiba terminalis,Conceveiba,Euphorbiaceae,species
Miconia manauara,plants,Miconia manauara,Miconia,Melastomataceae,species
Quiina amazonica,plants,Quiina amazonica,Quiina,Quiinaceae,species
Pachira,plants,,Pachira,Malvaceae,genus
Passiflora quadriglandulosa,plants,Passiflora quadriglandulosa,Passiflora,Passifloraceae,species
Panopsis,plants,,Panopsis,Proteaceae,genus
Eugenia feijoi,plants,Eugenia feijoi,Eugenia,Myrtaceae,species
Radula pallens,plants,Radula pallens,Radula,Radulaceae,species
Prionostemma asperum,plants,Prionostemma asperum,Prionostemma,Celastraceae,species
Swartzia manausensis,plants,Swartzia manausensis,Swartzia,Fabaceae,species
Aegiphila bracteolosa,plants,Aegiphila bracteolosa,Aegiphila,Lamiaceae,species
Olyra latifolia,plants,Olyra latifolia,Olyra,Poaceae,species
Oleandra,plants,,Oleandra,Oleandraceae,genus
Caricaceae,plants,,,Caricaceae,family
Sagotia,plants,,Sagotia,Euphorbiaceae,genus
Bocoa viridiflora,plants,Bocoa viridiflora,Bocoa,Fabaceae,species
Hippobroma,plants,,Hippobroma,Campanulaceae,genus
Hymenophyllaceae,plants,,,Hymenophyllaceae,family
Pentagonia spathicalyx,plants,Pentagonia spathicalyx,Pentagonia,Rubiaceae,species
Hydrolea,plants,,Hydrolea,Hydroleaceae,genus
Bocageopsis,plants,,Bocageopsis,Annonaceae,genus
Caladium bicolor,plants,Caladium bicolor,Caladium,Araceae,species
Cecropia sciadophylla,plants,Cecropia sciadophylla,Cecropia,Urticaceae,species
Homalolepis,plants,,Homalolepis,Simaroubaceae,genus
Combretum,plants,,Combretum,Combretaceae,genus
Bactris gastoniana,plants,Bactris gastoniana,Bactris,Arecaceae,species
Selaginella fragilis,plants,Selaginella fragilis,Selaginella,Selaginellaceae,species
Cyperus exaltatus var exaltatus,plants,Cyperus exaltatus var exaltatus,Cyperus,Cyperaceae,species
Mesechites trifidus,plants,Mesechites trifidus,Mesechites,Apocynaceae,species
Pentaclethra macroloba,plants,Pentaclethra macroloba,Pentaclethra,Fabaceae,species
Trichomanes,plants,,Trichomanes,Hymenophyllaceae,genus
Palicourea glabra,plants,Palicourea glabra,Palicourea,Rubiaceae,species
Ecclinusa,plants,,Ecclinusa,Sapotaceae,genus
Crepinella spruceana,plants,Crepinella spruceana,Crepinella,Araliaceae,species
Centratherum punctatum,plants,Centratherum punctatum,Centratherum,Asteraceae,species
Cynometra marginata,plants,Cynometra marginata,Cynometra,Fabaceae,species
Maprounea,plants,,Maprounea,Euphorbiaceae,genus
Stryphnodendron guianense,plants,Stryphnodendron guianense,Stryphnodendron,Fabaceae,species
Sida setosa,plants,Sida setosa,Sida,Malvaceae,species
Cassipourea guianensis,plants,Cassipourea guianensis,Cassipourea,Rhizophoraceae,species
Tovomita choisyana,plants,Tovomita choisyana,Tovomita,Clusiaceae,species
Parinari excelsa,plants,Parinari excelsa,Parinari,Chrysobalanaceae,species
Microtea debilis,plants,Microtea debilis,Microtea,Microteaceae,species
Protium calendulinum,plants,Protium calendulinum,Protium,Burseraceae,species
Piper soledadense,plants,Piper soledadense,Piper,Piperaceae,species
Paypayrola grandiflora,plants,Paypayrola grandiflora,Paypayrola,Violaceae,species
Trichosteleum fluviale,plants,Trichosteleum fluviale,Trichosteleum,Sematophyllaceae,species
Nephrolepis brownii,plants,Nephrolepis brownii,Nephrolepis,Nephrolepidaceae,species
Strychnos jobertiana,plants,Strychnos jobertiana,Strychnos,Loganiaceae,species
Piper hispidum,plants,Piper hispidum,Piper,Piperaceae,species
Xylopia amazonica,plants,Xylopia amazonica,Xylopia,Annonaceae,species
Wissadula,plants,,Wissadula,Malvaceae,genus
Vismia sessilifolia,plants,Vismia sessilifolia,Vismia,Hypericaceae,species
Miconia kavanayensis,plants,Miconia kavanayensis,Miconia,Melastomataceae,species
Vouarana,plants,,Vouarana,Sapindaceae,genus
Eugenia gongylocarpa,plants,Eugenia gongylocarpa,Eugenia,Myrtaceae,species
Acalypha diversifolia,plants,Acalypha diversifolia,Acalypha,Euphorbiaceae,species
Syzygium flavescens,plants,Syzygium flavescens,Syzygium,Myrtaceae,species
Oleandra articulata,plants,Oleandra articulata,Oleandra,Oleandraceae,species
Cissus,plants,,Cissus,Vitaceae,genus
Calyptrion arboreum,plants,Calyptrion arboreum,Calyptrion,Violaceae,species
Cuphea setosa,plants,Cuphea setosa,Cuphea,Lythraceae,species
Lophocolea liebmanniana,plants,Lophocolea liebmanniana,Lophocolea,Lophocoleaceae,species
Lentibulariaceae,plants,,,Lentibulariaceae,family
Pelekium,plants,,Pelekium,Thuidiaceae,genus
Sloanea tuerckheimii,plants,Sloanea tuerckheimii,Sloanea,Elaeocarpaceae,species
Qualea paraensis,plants,Qualea paraensis,Qualea,Vochysiaceae,species
Pourouma minor,plants,Pourouma minor,Pourouma,Urticaceae,species
Microgramma tecta,plants,Microgramma tecta,Microgramma,Polypodiaceae,species
Bulbostylis paradoxa,plants,Bulbostylis paradoxa,Bulbostylis,Cyperaceae,species
Matayba arborescens,plants,Matayba arborescens,Matayba,Sapindaceae,species
Thurniaceae,plants,,,Thurniaceae,family
Unonopsis guatterioides,plants,Unonopsis guatterioides,Unonopsis,Annonaceae,species
Caperonia castaneifolia,plants,Caperonia castaneifolia,Caperonia,Euphorbiaceae,species
Leucophanes molleri,plants,Leucophanes molleri,Leucophanes,Calymperaceae,species
Carpotroche,plants,,Carpotroche,Achariaceae,genus
Phthirusa pyrifolia,plants,Phthirusa pyrifolia,Phthirusa,Loranthaceae,species
Hydrochorea,plants,,Hydrochorea,Fabaceae,genus
Scleria secans,plants,Scleria secans,Scleria,Cyperaceae,species
Tetragastris altissima,plants,Tetragastris altissima,Tetragastris,Burseraceae,species
Solanum rugosum,plants,Solanum rugosum,Solanum,Solanaceae,species
Sauvagesia,plants,,Sauvagesia,Ochnaceae,genus
Licaria armeniaca,plants,Licaria armeniaca,Licaria,Lauraceae,species
Niphidium,plants,,Niphidium,Polypodiaceae,genus
