species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
9f8f0dc9-4b3f-4274-86a2-6dbeeea6bf6c,Hydrolaetare schmidti,amphibians,Hydrolaetare schmidti,NULL,Schmidt's Forest Frog,NULL,Leptodactylidae,Neotropical Frogs,species,NULL,Hydrolaetare,2024-01-31 16:46:01.310562+00
b56bce25-97a9-4069-b3a9-3c5b13dbaa87,Chiasmocleis,amphibians,,,,,Microhylidae,NULL,genus,NULL,Chiasmocleis,2024-01-24 17:18:54.447684+00
a51469c4-1032-4a54-8d30-6b144aa63ec7,Elachistocleis ovalis,amphibians,Elachistocleis ovalis,NULL,NULL,NULL,,NULL,species,NULL,Elachistocleis,2024-01-24 17:18:54.447684+00
ffc1a332-1726-4ae1-9827-bc5931f40d85,Ameerega trivittata,amphibians,Ameerega trivittata,NULL,NULL,NULL,,NULL,species,NULL,Ameerega,2024-01-24 17:18:54.447684+00
665a2175-3f41-4a00-92b1-9ea2a1cedfab,Leptodactylus pentadactylus,amphibians,Leptodactylus pentadactylus,NULL,NULL,NULL,,NULL,species,NULL,Leptodactylus,2024-01-24 17:18:54.447684+00
1d3b33ec-f2f2-46fd-af2e-b305ffaba95a,Ceratophrys cornuta,amphibians,Ceratophrys cornuta,NULL,NULL,NULL,,NULL,species,NULL,Ceratophrys,2024-01-24 17:18:54.447684+00
9fe4c58c-9be0-4632-8eb2-c587350e0847,Osteocephalus oophagus,amphibians,Osteocephalus oophagus,NULL,NULL,NULL,,NULL,species,NULL,Osteocephalus,2024-01-24 17:18:54.447684+00
d8f09262-e01c-4c8a-8a8a-efd1ef7b7456,Dendropsophus leali,amphibians,Dendropsophus leali,NULL,NULL,NULL,,NULL,species,NULL,Dendropsophus,2024-01-24 17:18:54.447684+00
679700cf-aa4a-44fc-80b9-610daef49082,Ranitomeya ventrimaculata,amphibians,Ranitomeya ventrimaculata,NULL,NULL,NULL,,NULL,species,NULL,Ranitomeya,2024-01-24 17:18:54.447684+00
4b315461-c3c4-4a40-a3cf-7e59e2552bab,Pseudopaludicola,amphibians,,NULL,,NULL,Leptodactylidae,Neotropical Frogs,genus,NULL,Pseudopaludicola,2024-01-31 16:46:01.310562+00
