species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
b1135acc-03ef-4227-b127-7d322ffbe5f3,Strumigenys denticulata,ants,Strumigenys denticulata,NULL,,NULL,,,species,NULL,Strumigenys,2024-01-31 16:46:01.310562+00
3cb06f64-ed51-4230-a555-44d859a149e3,Dolichoderus laminatus,ants,Dolichoderus laminatus,NULL,,NULL,,,species,NULL,Dolichoderus,2024-01-31 16:46:01.310562+00
21c0ce64-7ffe-402c-b93d-afba7c7d8b44,Dolichoderus bispinosus,ants,Dolichoderus bispinosus,NULL,NULL,NULL,,NULL,species,NULL,Dolichoderus,2024-01-24 17:18:54.447684+00
02b0d216-31bd-41c9-a17d-dce5ca623881,Mayaponera,ants,,,,,,NULL,genus,NULL,Mayaponera,2024-01-24 17:18:54.447684+00
f663ce4f-30b4-4129-abe5-8c09689d103e,Mycocepurus smithii,ants,Mycocepurus smithii,NULL,,NULL,,,species,NULL,Mycocepurus,2024-01-31 16:46:01.310562+00
b255720a-9087-431f-a10c-caeba5fb2751,Labidus,ants,,NULL,,NULL,Formicidae,,genus,NULL,Labidus,2024-01-31 16:46:01.310562+00
adacc9a5-f728-477b-9631-45fd30656aa8,Procryptocerus pictipes,ants,Procryptocerus pictipes,NULL,,NULL,,,species,NULL,Procryptocerus,2024-01-31 16:46:01.310562+00
dd356fe2-282f-4cd6-99da-ebffaca6c926,Gnamptogenys acuminata,ants,Gnamptogenys acuminata,NULL,,NULL,,,species,NULL,Gnamptogenys,2024-01-31 16:46:01.310562+00
9d68d0b5-2aec-4237-aef1-a618cf113d0d,Dendromyrmex nidulans,ants,Dendromyrmex nidulans,NULL,,NULL,,,species,NULL,Dendromyrmex,2024-01-31 16:46:01.310562+00
2108cd34-707a-412f-a888-2302747af230,Gnamptogenys pleurodon,ants,Gnamptogenys pleurodon,NULL,,NULL,,,species,NULL,Gnamptogenys,2024-01-31 16:46:01.310562+00
a37f32e4-f501-4632-98e8-47db1fbcfda8,Ochetomyrmex,ants,,NULL,,NULL,,,genus,NULL,Ochetomyrmex,2024-01-31 16:46:01.310562+00
15eb34a3-c8d0-4c89-9245-8db1e02df96e,Pseudomyrmex termitarius,ants,Pseudomyrmex termitarius,NULL,,NULL,,,species,NULL,Pseudomyrmex,2024-01-31 16:46:01.310562+00
8686ce91-a010-49da-9980-03b01f3408ec,Neoponera villosa,ants,Neoponera villosa,NULL,NULL,NULL,,NULL,species,NULL,Neoponera,2024-01-24 17:18:54.447684+00
1a480043-0910-4c7c-a1de-6584df169879,Pachycondyla apicalis,ants,Pachycondyla apicalis,NULL,,NULL,,,species,NULL,Pachycondyla,2024-01-31 16:46:01.310562+00
