species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
3daa5ae1-bc31-4074-bdac-8e2959f0d6ec,Junonia evarete,butterflies,Junonia evarete,NULL,NULL,NULL,,NULL,species,NULL,Junonia,2024-01-24 17:18:54.447684+00
e6986fb3-c0b9-4334-b51a-bd6bd2ebcc15,Arawacus separata,butterflies,Arawacus separata,NULL,NULL,NULL,,NULL,species,NULL,Arawacus,2024-01-24 17:18:54.447684+00
6deabb8e-8719-43d9-ba33-2fd4e466f069,Morpho deidamia,butterflies,Morpho deidamia,NULL,NULL,NULL,,NULL,species,NULL,Morpho,2024-01-24 17:18:54.447684+00
4c585048-9482-4a2b-b2bb-b0d7d63347e8,Melanis smithiae,butterflies,Melanis smithiae,NULL,NULL,NULL,,NULL,species,NULL,Melanis,2024-01-24 17:18:54.447684+00
d1997449-f0fd-4fc4-bbf7-33b0020dd8f1,Entheus matho,butterflies,Entheus matho,NULL,NULL,NULL,,NULL,species,NULL,Entheus,2024-01-24 17:18:54.447684+00
7f797322-9676-46a7-b35a-2b5b4631f24b,Caerois chorinaeus,butterflies,Caerois chorinaeus,NULL,NULL,NULL,,NULL,species,NULL,Caerois,2024-01-24 17:18:54.447684+00
91abc4c5-92bd-41f9-b9c3-4029811edad9,Memphis moruus,butterflies,Memphis moruus,NULL,,NULL,Nymphalidae,Brushfooted Butterflies,species,NULL,Memphis,2024-01-31 16:46:01.310562+00
aab88c56-e627-4c87-bf18-bb46bed2748f,Urbanus procne,butterflies,Urbanus procne,NULL,NULL,NULL,,NULL,species,NULL,Urbanus,2024-01-24 17:18:54.447684+00
5676ab8e-cecf-4854-b8d1-6af6f1eef27b,Artines,butterflies,,NULL,,NULL,,,genus,NULL,Artines,2024-01-31 16:46:01.310562+00
9900f79d-0cf9-4aeb-8b11-27415d59e403,Celmia,butterflies,,,,,,NULL,genus,NULL,Celmia,2024-01-24 17:18:54.447684+00
e96209de-b361-4e7a-b8e7-1b064d067a65,Chloreuptychia chloris,butterflies,Chloreuptychia chloris,NULL,,NULL,,,species,NULL,Chloreuptychia,2024-01-31 16:46:01.310562+00
fb9e7632-8e2b-44ce-b981-ee311e564a3e,Taygetis,butterflies,,,,,,NULL,genus,NULL,Taygetis,2024-01-24 17:18:54.447684+00
84de6cd6-10b7-4873-8342-b00460207c82,Thecla,butterflies,,,,,,NULL,genus,NULL,Thecla,2024-01-24 17:18:54.447684+00
cc35ea7d-0117-4d8a-ac62-25f529b091b1,Consul,butterflies,,,,,,NULL,genus,NULL,Consul,2024-01-24 17:18:54.447684+00
9df48422-3b17-4176-90ab-e104fb9f0b7d,Eresia,butterflies,,,,,,NULL,genus,NULL,Eresia,2024-01-24 17:18:54.447684+00
0f0cbe19-d6d3-435c-887e-9db615bce785,Synargis calyce,butterflies,Synargis calyce,NULL,NULL,NULL,,NULL,species,NULL,Synargis,2024-01-24 17:18:54.447684+00
fb20380e-3e9a-42cd-91f0-6313e823536d,Eresia eunice,butterflies,Eresia eunice,NULL,NULL,NULL,,NULL,species,NULL,Eresia,2024-01-24 17:18:54.447684+00
5fcdb53f-5b58-4598-a37b-65b8f12291f2,Riodina lysippus,butterflies,Riodina lysippus,NULL,NULL,NULL,,NULL,species,NULL,Riodina,2024-01-24 17:18:54.447684+00
74ced553-dfff-474f-a099-d294eda491d7,Tigridia,butterflies,,,,,,NULL,genus,NULL,Tigridia,2024-01-24 17:18:54.447684+00
f67e4f78-f089-4828-8211-96daa9163b70,Dynamine postverta,butterflies,Dynamine postverta,NULL,NULL,NULL,,NULL,species,NULL,Dynamine,2024-01-24 17:18:54.447684+00
2873364b-e003-49ff-8f14-93ddb91b2bb4,Pseudodebis,butterflies,,,,,,NULL,genus,NULL,Pseudodebis,2024-01-24 17:18:54.447684+00
a37d742d-1323-417b-8a58-0518a601a169,Argyreuptychia,butterflies,,NULL,,NULL,,,genus,NULL,Argyreuptychia,2024-01-31 16:46:01.310562+00
5abaebb3-f937-4d60-820d-50c15fe51119,Ectima,butterflies,,,,,,NULL,genus,NULL,Ectima,2024-01-24 17:18:54.447684+00
e9596f12-a118-429b-b47e-ba506564b5ca,Heraclides thoas,butterflies,Heraclides thoas,NULL,NULL,NULL,,NULL,species,NULL,Heraclides,2024-01-24 17:18:54.447684+00
dc98538a-5737-497d-912d-fa93ca82fbb6,Marpesia orsilochus,butterflies,Marpesia orsilochus,NULL,NULL,NULL,,NULL,species,NULL,Marpesia,2024-01-24 17:18:54.447684+00
4b5b3ebf-bb2d-4bf2-af47-f2b01389dcd6,Batesia hypochlora,butterflies,Batesia hypochlora,NULL,NULL,NULL,,NULL,species,NULL,Batesia,2024-01-24 17:18:54.447684+00
dda578ee-a1bb-415c-b75f-dd510bca4aa6,Thecla orcidia,butterflies,Thecla orcidia,NULL,,NULL,,,species,NULL,Thecla,2024-01-31 16:46:01.310562+00
c5d5b938-bff4-403e-b3d8-9df294a8f9da,Melinaea ludovica,butterflies,Melinaea ludovica,NULL,NULL,NULL,,NULL,species,NULL,Melinaea,2024-01-24 17:18:54.447684+00
a83260d4-c161-4339-8197-9200b68974f6,Heraclides androgeus,butterflies,Heraclides androgeus,NULL,NULL,NULL,,NULL,species,NULL,Heraclides,2024-01-24 17:18:54.447684+00
2071da11-d6c8-4812-897a-74545478701f,Philaethria,butterflies,,,,,,NULL,genus,NULL,Philaethria,2024-01-24 17:18:54.447684+00
256d56a3-af1f-4ccf-ace6-833b1d0d54bf,Heliconius demeter,butterflies,Heliconius demeter,NULL,NULL,NULL,,NULL,species,NULL,Heliconius,2024-01-24 17:18:54.447684+00
2bc508a6-cd91-4da7-9fe4-67db683ec476,Dynamine athemon,butterflies,Dynamine athemon,NULL,NULL,NULL,,NULL,species,NULL,Dynamine,2024-01-24 17:18:54.447684+00
ba288096-09ac-42f7-b2bc-1b045102a87c,Catonephele,butterflies,,,,,,NULL,genus,NULL,Catonephele,2024-01-24 17:18:54.447684+00
ed94323d-51b0-4da0-8aa6-8a31656b741b,Hesperiidae,butterflies,,,,,Hesperiidae,Skippers,family,2,,2024-01-24 17:18:54.447684+00
a62ce751-f30e-4173-932b-f0f6139543b0,Lycorea pasinuntia,butterflies,Lycorea pasinuntia,NULL,NULL,NULL,,NULL,species,NULL,Lycorea,2024-01-24 17:18:54.447684+00
325b2357-b8de-478b-aadf-ca06aed35b50,Caligo illioneus,butterflies,Caligo illioneus,NULL,NULL,NULL,,NULL,species,NULL,Caligo,2024-01-24 17:18:54.447684+00
55cd152b-40d8-4424-8837-cda77348e8bd,Hamadryas amphinome,butterflies,Hamadryas amphinome,NULL,NULL,NULL,,NULL,species,NULL,Hamadryas,2024-01-24 17:18:54.447684+00
9b26f11e-0569-4bdc-9779-628932902d0b,Ascia,butterflies,,,,,,NULL,genus,NULL,Ascia,2024-01-24 17:18:54.447684+00
f7d080eb-4b0a-4892-ac40-aaed8588e030,Hypna,butterflies,,,,,,NULL,genus,NULL,Hypna,2024-01-24 17:18:54.447684+00
f2afb9cf-b0bc-4985-bf13-46f32f2b0520,Thenpea,butterflies,,,,,,NULL,genus,NULL,Thenpea,2024-01-24 17:18:54.447684+00
e119c92b-307c-4777-aaf8-2fd198cecb99,Asterope leprieuri,butterflies,Asterope leprieuri,NULL,NULL,NULL,,NULL,species,NULL,Asterope,2024-01-24 17:18:54.447684+00
1ea9806c-640c-42bb-bc8e-8702571d96b5,Vettius,butterflies,,,,,,NULL,genus,NULL,Vettius,2024-01-24 17:18:54.447684+00
54192e24-8dc1-4fe0-b46a-7600efe66859,Heliconius numatus,butterflies,Heliconius numatus,NULL,,NULL,,,species,NULL,Heliconius,2024-01-31 16:46:01.310562+00
34af3813-f6ea-47b4-914d-ac9420130266,Cissia penelope,butterflies,Cissia penelope,NULL,NULL,NULL,,NULL,species,NULL,Cissia,2024-01-24 17:18:54.447684+00
2f80c936-792e-475b-9139-0aa6962b9e1e,Stalachtis euterpe,butterflies,Stalachtis euterpe,NULL,NULL,NULL,,NULL,species,NULL,Stalachtis,2024-01-24 17:18:54.447684+00
ea7ffe34-c436-483d-9b19-4faa2fff880c,Battus polydamas,butterflies,Battus polydamas,NULL,NULL,NULL,,NULL,species,NULL,Battus,2024-01-24 17:18:54.447684+00
9d92dbf5-6e75-4c13-87cf-e9e187bd94c3,Tmolus,butterflies,,,,,,NULL,genus,NULL,Tmolus,2024-01-24 17:18:54.447684+00
c7ecd05f-935b-4f7e-9c90-843cd343e496,Pterourus xanthopleura,butterflies,Pterourus xanthopleura,NULL,,NULL,Papilionidae,Swallowtail Butterflies,species,NULL,Pterourus,2024-01-31 16:46:01.310562+00
