species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
72485283-9f80-4385-a130-bcca6b8a1a80,Pantala,dragonflies,,,,,,NULL,genus,NULL,Pantala,2024-01-24 17:18:54.447684+00
2d70868c-a8e6-42c5-889a-c17d11b6fc0c,Neuraeschna,dragonflies,,NULL,,NULL,,,genus,NULL,Neuraeschna,2024-01-31 16:46:01.310562+00
768cadaf-4109-466b-b863-ef9836a38459,Rhodopygia hollandi,dragonflies,Rhodopygia hollandi,NULL,,NULL,,,species,NULL,Rhodopygia,2024-01-31 16:46:01.310562+00
12f618b3-8653-4b2c-9140-9933ca879ab0,Rhionaeschna planaltica,dragonflies,Rhionaeschna planaltica,NULL,,NULL,,,species,NULL,Rhionaeschna,2024-01-31 16:46:01.310562+00
4aba2be1-bcc6-4ddf-ae0f-3ec68478ed1d,Rhodopygia,dragonflies,,NULL,,NULL,,,genus,NULL,Rhodopygia,2024-01-31 16:46:01.310562+00
db674e0d-9251-464d-84e5-64abebd432dd,Epipleoneura manauensis,dragonflies,Epipleoneura manauensis,NULL,,NULL,,,species,NULL,Epipleoneura,2024-01-31 16:46:01.310562+00
45a6398b-f87e-416f-8848-e1021144a9d3,Micrathyria spuria,dragonflies,Micrathyria spuria,NULL,,NULL,,,species,NULL,Micrathyria,2024-01-31 16:46:01.310562+00
16f9d6ee-f124-4f11-844e-87f3bdd20d8c,Acanthagrion,dragonflies,,NULL,,NULL,,,genus,NULL,Acanthagrion,2024-01-31 16:46:01.310562+00
c807d199-ef29-4772-9d8b-655755d8f00e,Brechmorhoga,dragonflies,,NULL,,NULL,,,genus,NULL,Brechmorhoga,2024-01-31 16:46:01.310562+00
7153f387-ab5d-462e-8163-2fb2ef9e0c62,Fylgia amazonica,dragonflies,Fylgia amazonica,NULL,,NULL,,,species,NULL,Fylgia,2024-01-31 16:46:01.310562+00
1e40b6c0-7e13-4823-8108-2d08059245e2,Epipleoneura capilliformis,dragonflies,Epipleoneura capilliformis,NULL,,NULL,,,species,NULL,Epipleoneura,2024-01-31 16:46:01.310562+00
23921faa-88d3-4e66-a4b5-6a9c9fa86a1e,Micrathyria tibialis,dragonflies,Micrathyria tibialis,NULL,,NULL,,,species,NULL,Micrathyria,2024-01-31 16:46:01.310562+00
da8280f9-6619-43ea-bf08-7a447ffe23fb,Progomphus intricatus,dragonflies,Progomphus intricatus,NULL,,NULL,,,species,NULL,Progomphus,2024-01-31 16:46:01.310562+00
461e4e71-3e13-4530-bb03-82561c0a059d,Heteragrion,dragonflies,,NULL,,NULL,,,genus,NULL,Heteragrion,2024-01-31 16:46:01.310562+00
acfca113-26c6-49c3-8981-31c72d43061a,Orthemis biolleyi,dragonflies,Orthemis biolleyi,NULL,,NULL,,,species,NULL,Orthemis,2024-01-31 16:46:01.310562+00
6b2aafcd-ddc6-444a-a49f-f5b150e3e337,Epipotoneura,dragonflies,,NULL,,NULL,,,genus,NULL,Epipotoneura,2024-01-31 16:46:01.310562+00
369668d4-1080-4761-9393-d55fce180347,Fylgia,dragonflies,,NULL,,NULL,,,genus,NULL,Fylgia,2024-01-31 16:46:01.310562+00
3f262655-4726-4297-9389-d86494963a37,Perilestes,dragonflies,,NULL,,NULL,,,genus,NULL,Perilestes,2024-01-31 16:46:01.310562+00
c9e099f5-a2f2-4fbf-a20c-149c14005461,Triacanthagyna,dragonflies,,NULL,,NULL,,,genus,NULL,Triacanthagyna,2024-01-31 16:46:01.310562+00
3b019618-89ad-439f-9bc5-91c03625a823,Acanthagrion adustum,dragonflies,Acanthagrion adustum,NULL,,NULL,,,species,NULL,Acanthagrion,2024-01-31 16:46:01.310562+00
1eae737b-77f3-4139-83a3-1afd1a712adb,Ischnura,dragonflies,,,,,,NULL,genus,NULL,Ischnura,2024-01-24 17:18:54.447684+00
d3b49e38-b80f-4bbc-ac65-68e1975d2368,Diastatops pullata,dragonflies,Diastatops pullata,NULL,,NULL,,,species,NULL,Diastatops,2024-01-31 16:46:01.310562+00
3c9b1dca-abb5-4ed3-9936-cf80d5e50055,Protoneura,dragonflies,,NULL,,NULL,,,genus,NULL,Protoneura,2024-01-31 16:46:01.310562+00
