species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
f2af1dbc-40ed-4835-8617-762d3517f44f,Centronycteris maximiliani,mammals,Centronycteris maximiliani,NULL,Shaggy Bat,NULL,,,species,NULL,Centronycteris,2024-01-31 16:46:00.692574+00
43393a96-daab-49b8-9bbd-8526d60b36fc,Saccopteryx leptura,mammals,Saccopteryx leptura,NULL,NULL,NULL,,NULL,species,NULL,Saccopteryx,2024-01-24 17:18:54.447684+00
ae9ea7fd-35fc-4896-bf9b-250f860cf431,Galictis vittata,mammals,Galictis vittata,NULL,NULL,NULL,,NULL,species,NULL,Galictis,2024-01-24 17:18:54.447684+00
b05155f7-4029-4c76-b1fb-342150020c9c,Artibeus concolor,mammals,Artibeus concolor,NULL,NULL,NULL,,NULL,species,NULL,Artibeus,2024-01-24 17:18:54.447684+00
f24f9aeb-2bbe-4e69-9364-4dcb549722aa,Glyphonycteris daviesi,mammals,Glyphonycteris daviesi,NULL,NULL,NULL,,NULL,species,NULL,Glyphonycteris,2024-01-24 17:18:54.447684+00
62195b65-edb5-468d-95b8-63477e752e51,Euryoryzomys,mammals,,NULL,,NULL,,,genus,NULL,Euryoryzomys,2024-01-31 16:46:00.692574+00
8f11b58b-3cb7-4e79-bd6a-eaffeb4975c7,Myotis,mammals,,,,,Natalidae,Vespertilionid Bats,genus,560,Myotis,2024-01-24 17:18:54.447684+00
5c11c7c6-d7e8-4517-9bf6-79111f96b880,Lampronycteris brachyotis,mammals,Lampronycteris brachyotis,NULL,Yellow Throated Big Eared Bat,NULL,,,species,NULL,Lampronycteris,2024-01-31 16:46:00.692574+00
3066d6db-7ab3-4a64-9430-35ac6eae7d7b,Lophostoma silvicolum,mammals,Lophostoma silvicolum,NULL,White-Throated Round-Eared Bat,NULL,,,species,NULL,Lophostoma,2024-01-31 16:46:00.692574+00
3fcc4385-5d6e-4653-a336-33d81c118b83,Platyrrhinus incarum,mammals,Platyrrhinus incarum,NULL,NULL,NULL,,NULL,species,NULL,Platyrrhinus,2024-01-24 17:18:54.447684+00
3f12c846-cb5b-434b-96c6-b66c493943d1,Saimiri sciureus,mammals,Saimiri sciureus,NULL,NULL,NULL,,NULL,species,NULL,Saimiri,2024-01-24 17:18:54.447684+00
85002820-7ef9-41a5-9cee-a370ab41b7a8,Trachops cirrhosus,mammals,Trachops cirrhosus,NULL,NULL,NULL,,NULL,species,NULL,Trachops,2024-01-24 17:18:54.447684+00
89307cd6-1ca2-4967-8b0a-5bfcfe762140,Alouatta seniculus,mammals,Alouatta seniculus,NULL,Colombian Red Howler Monkey,NULL,,,species,NULL,Alouatta,2024-01-31 16:46:00.692574+00
a0bef8d4-578f-4a01-86dc-184fbe31e7a3,Tayassu pecari,mammals,Tayassu pecari,NULL,NULL,NULL,,NULL,species,NULL,Tayassu,2024-01-24 17:18:54.447684+00
2ac5599c-b43b-4370-b840-3413e864d806,Cynomops,mammals,,,,,,NULL,genus,NULL,Cynomops,2024-01-24 17:18:54.447684+00
