species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
8fd2d8e4-4f3e-412f-ae07-74c80fd609f0,Zenithoptera lanei,odonates,Zenithoptera lanei,NULL,NULL,NULL,,NULL,species,NULL,Zenithoptera,2024-01-24 17:18:54.447684+00
be61a8f8-7ab8-4e91-ae46-ada060298d45,Tholymis,odonates,,,,,,Common Skimmers,genus,22,Tholymis,2024-01-24 17:18:54.447684+00
0efe5698-25fa-40e6-b165-c0138f1a6a18,Acanthagrion,odonates,,,,,,NULL,genus,NULL,Acanthagrion,2024-01-24 17:18:54.447684+00
db262d56-5a9b-4a9c-965f-22f8c80b1470,Argia,odonates,,,,,,NULL,genus,NULL,Argia,2024-01-24 17:18:54.447684+00
486b2865-7790-4819-b0e9-418d636734f7,Hetaerina,odonates,,,,,,NULL,genus,NULL,Hetaerina,2024-01-24 17:18:54.447684+00
fd127237-ea14-4740-b80c-04f07cefd00c,Erythrodiplax umbrata,odonates,Erythrodiplax umbrata,NULL,NULL,NULL,,NULL,species,NULL,Erythrodiplax,2024-01-24 17:18:54.447684+00
4e563ed3-87e2-4068-88c6-1942bf1ea100,Psaironeura tenuissima,odonates,Psaironeura tenuissima,NULL,NULL,NULL,,NULL,species,NULL,Psaironeura,2024-01-24 17:18:54.447684+00
f1c6b631-1676-4d5c-bf3b-1657ee1cfb1e,Metaleptobasis,odonates,,,,,,NULL,genus,NULL,Metaleptobasis,2024-01-24 17:18:54.447684+00
45e97269-0a34-489f-a973-183febd0c13e,Gynothemis pumila,odonates,Gynothemis pumila,NULL,NULL,NULL,,NULL,species,NULL,Gynothemis,2024-01-24 17:18:54.447684+00
ed0be490-144f-438f-a5ca-2c62b57c60d9,Acanthagrion apicale,odonates,Acanthagrion apicale,NULL,NULL,NULL,,NULL,species,NULL,Acanthagrion,2024-01-24 17:18:54.447684+00
f7f4ad68-5742-4b1e-b69d-947a17f5b7db,Erythemis attala,odonates,Erythemis attala,NULL,NULL,NULL,,NULL,species,NULL,Erythemis,2024-01-24 17:18:54.447684+00
