species_id,name,taxa,scientificname,species_url,commonname,redlist,family,family_common,taxonomic_level,sequenceid,genus,created_at
103858af-9392-4bb3-87c6-5f3f1cfaacf7,Anilius scytale,reptiles,Anilius scytale,NULL,NULL,NULL,,NULL,species,NULL,Anilius,2024-01-24 17:18:54.447684+00
5e0d9d83-55ba-418e-934f-304aac658466,Peltocephalus dumeriliana,reptiles,Peltocephalus dumeriliana,NULL,Big-Headed Amazon River Turtle,NULL,,,species,NULL,Peltocephalus,2024-01-31 16:46:00.692574+00
8cef49cf-c985-4552-abb8-303ad5b79b14,Bothrops atrox,reptiles,Bothrops atrox,NULL,NULL,NULL,,NULL,species,NULL,Bothrops,2024-01-24 17:18:54.447684+00
e5d690a4-f279-48b1-a609-ea9aa087ab32,Epictia,reptiles,,,,,,NULL,genus,NULL,Epictia,2024-01-24 17:18:54.447684+00
a294cc64-c213-4f4c-b6a9-80446580d6fa,Podocnemis erythrocephala,reptiles,Podocnemis erythrocephala,NULL,NULL,NULL,,NULL,species,NULL,Podocnemis,2024-01-24 17:18:54.447684+00
28fe9f65-23da-4faf-9b99-4e52b3b22237,Lepidoblepharis heyerorum,reptiles,Lepidoblepharis heyerorum,NULL,NULL,NULL,,NULL,species,NULL,Lepidoblepharis,2024-01-24 17:18:54.447684+00
c475ef8b-9fb1-4619-95c8-a4a68b56cfba,Neusticurus rudis,reptiles,Neusticurus rudis,NULL,NULL,NULL,,NULL,species,NULL,Neusticurus,2024-01-24 17:18:54.447684+00
7dc63b82-c96c-4f87-b427-aa4c13708f44,Phrynonax poecilonotus,reptiles,Phrynonax poecilonotus,NULL,NULL,NULL,,NULL,species,NULL,Phrynonax,2024-01-24 17:18:54.447684+00
d69fb3a8-4a8a-47c4-8f66-e1da788ccde9,Taeniophallus brevirostris,reptiles,Taeniophallus brevirostris,NULL,NULL,NULL,,NULL,species,NULL,Taeniophallus,2024-01-24 17:18:54.447684+00
519a5df3-2191-4b85-855f-0ad45e1ec79f,Micrurus diutius,reptiles,Micrurus diutius,NULL,,NULL,,,species,NULL,Micrurus,2024-01-31 16:46:00.692574+00
d92e1e7c-a518-4bcb-b088-9072a14d9398,Thamnodynastes lanei,reptiles,Thamnodynastes lanei,NULL,NULL,NULL,,NULL,species,NULL,Thamnodynastes,2024-01-24 17:18:54.447684+00
dc64dd10-4584-4e99-a3a4-749c1a9d6679,Cnemidophorus gramivagus,reptiles,Cnemidophorus gramivagus,NULL,NULL,NULL,,NULL,species,NULL,Cnemidophorus,2024-01-24 17:18:54.447684+00
725593f4-31c4-49d3-b65f-b66bba0acc69,Hemidactylus palaichthus,reptiles,Hemidactylus palaichthus,NULL,NULL,NULL,,NULL,species,NULL,Hemidactylus,2024-01-24 17:18:54.447684+00
57dbdeca-62ba-4682-a95a-a8b6934dd23d,Tropidurus etheridgei,reptiles,Tropidurus etheridgei,NULL,NULL,NULL,,NULL,species,NULL,Tropidurus,2024-01-24 17:18:54.447684+00
4a22bea4-ed19-492b-94f8-6f5ae7158d70,Crotalus durissus,reptiles,Crotalus durissus,NULL,NULL,NULL,,NULL,species,NULL,Crotalus,2024-01-24 17:18:54.447684+00
d5523669-4909-4436-8fb0-fbc2117fd19f,Dracaena,reptiles,,,,,,NULL,genus,NULL,Dracaena,2024-01-24 17:18:54.447684+00
e74c263e-fed3-4fc4-81df-daaefbc7d7e5,Pseudoboa martinsi,reptiles,Pseudoboa martinsi,NULL,,NULL,,,species,NULL,Pseudoboa,2024-01-31 16:46:00.692574+00
a4f0f9d6-f69e-40aa-b662-c8b4e9ae850a,Tantilla,reptiles,,,,,,NULL,genus,NULL,Tantilla,2024-01-24 17:18:54.447684+00
5725796e-0015-4ee3-8268-0bda251cef5e,Lygophis,reptiles,,NULL,,NULL,,,genus,NULL,Lygophis,2024-01-31 16:46:00.692574+00
a51b4fd7-fc5a-4874-b5bb-0914032cd4ca,Epictia tenella,reptiles,Epictia tenella,NULL,NULL,NULL,,NULL,species,NULL,Epictia,2024-01-24 17:18:54.447684+00
60d2fb48-f3da-40ab-a924-1e3360ec4dc9,Podocnemis,reptiles,,,,,,NULL,genus,NULL,Podocnemis,2024-01-24 17:18:54.447684+00
073e4f37-c5b1-4c53-89bd-f160f3b61150,Pseustes,reptiles,,NULL,,NULL,,,genus,NULL,Pseustes,2024-01-31 16:46:00.692574+00
152fe37c-6057-43fe-966d-4b0d60349755,Typhlophis squamosus,reptiles,Typhlophis squamosus,NULL,NULL,NULL,,NULL,species,NULL,Typhlophis,2024-01-24 17:18:54.447684+00
c6b639c0-5a93-4e1a-aff0-f508cc07a73d,Atractus flammigerus,reptiles,Atractus flammigerus,NULL,NULL,NULL,,NULL,species,NULL,Atractus,2024-01-24 17:18:54.447684+00
